# Pre-study run, pilot round 1 CFO, collected 2026-08-08 under prompt version
# structured_v1_icaira. Excluded from the primary population under PROTOCOL.md
# section 2 because prompts/ and schemas/ changed afterwards. See DEVIATIONS.md.
run_id,attempt_id,attempt_type,collection_round,execution_position,phase,provider,adapter,api_model_id,snapshot,reported_model,provider_request_id,requested_at_utc,card_id,card_hash,prompt_version,request_hash,system_prompt_hash,matrix_hash,pair_order_hash,requested_temperature,top_p,seed,latency_ms,input_tokens,output_tokens,raw_response_path,transport_status,validation_status,schema_error_codes
S_P-CFO-5_moonshot_01,S_P-CFO-5_moonshot_01_initial,initial,1,2,decision,moonshot,openai_compatible,kimi-k3,,kimi-k3,chatcmpl-6a76ab0aa513e573e71fab7d,2026-08-08T04:06:52+00:00,P-CFO-5,f72549462a7c2f39,structured_v1_icaira,a7ed7a679c0c08ac,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,83277,1274,4098,data/prestudy/raw/S_P-CFO-5_moonshot_01_initial.json,success,valid,
S_P-CFO-3_anthropic_01,S_P-CFO-3_anthropic_01_initial,initial,1,5,decision,anthropic,anthropic,claude-opus-5,,claude-opus-5,req_011Cdpd2aDbbvXhNDQW8EQP7,2026-08-08T04:07:10+00:00,P-CFO-3,c9c78252f7ebf63d,structured_v1_icaira,38b26ab03d57421f,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,17779,1841,1704,data/prestudy/raw/S_P-CFO-3_anthropic_01_initial.json,success,valid,
S_P-CFO-3_google_01,S_P-CFO-3_google_01_initial,initial,1,7,decision,google,google,gemini-3.1-pro-preview,,gemini-3.1-pro-preview,,2026-08-08T04:07:25+00:00,P-CFO-3,c9c78252f7ebf63d,structured_v1_icaira,38b26ab03d57421f,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,15194,1247,1294,data/prestudy/raw/S_P-CFO-3_google_01_initial.json,success,valid,
S_P-CFO-1_xai_01,S_P-CFO-1_xai_01_initial,initial,1,8,decision,xai,openai_compatible,grok-4.5,,grok-4.5,92d3e358-3601-9065-a982-af95632e8b81,2026-08-08T04:07:59+00:00,P-CFO-1,e006caa74e4616b2,structured_v1_icaira,2e0aa8872e201093,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,33963,1441,1201,data/prestudy/raw/S_P-CFO-1_xai_01_initial.json,success,valid,
S_P-CFO-1_moonshot_01,S_P-CFO-1_moonshot_01_initial,initial,1,9,decision,moonshot,openai_compatible,kimi-k3,,kimi-k3,chatcmpl-6a76aba0c666f0906236cc4e,2026-08-08T04:09:23+00:00,P-CFO-1,e006caa74e4616b2,structured_v1_icaira,2e0aa8872e201093,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,83845,1287,3428,data/prestudy/raw/S_P-CFO-1_moonshot_01_initial.json,success,valid,
S_P-CFO-3_xai_01,S_P-CFO-3_xai_01_initial,initial,1,13,decision,xai,openai_compatible,grok-4.5,,grok-4.5,5b00adfd-2b1d-9c4f-9118-e533a0a04d26,2026-08-08T04:09:57+00:00,P-CFO-3,c9c78252f7ebf63d,structured_v1_icaira,38b26ab03d57421f,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,34425,1388,1209,data/prestudy/raw/S_P-CFO-3_xai_01_initial.json,success,valid,
S_P-CFO-4_google_01,S_P-CFO-4_google_01_initial,initial,1,15,decision,google,google,gemini-3.1-pro-preview,,gemini-3.1-pro-preview,,2026-08-08T04:10:19+00:00,P-CFO-4,4cc4c5550b47b72c,structured_v1_icaira,4365d334c6be76dd,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,22319,1284,1385,data/prestudy/raw/S_P-CFO-4_google_01_initial.json,success,valid,
S_P-CFO-4_anthropic_01,S_P-CFO-4_anthropic_01_initial,initial,1,21,decision,anthropic,anthropic,claude-opus-5,,claude-opus-5,req_011CdpdHsX52k5Fy97kF1aQ2,2026-08-08T04:10:36+00:00,P-CFO-4,4cc4c5550b47b72c,structured_v1_icaira,4365d334c6be76dd,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,16563,1881,1422,data/prestudy/raw/S_P-CFO-4_anthropic_01_initial.json,success,invalid,E_VERSION
S_P-CFO-4_anthropic_01,S_P-CFO-4_anthropic_01_schema_repair,schema_repair,1,21,decision,anthropic,anthropic,claude-opus-5,,claude-opus-5,req_011CdpdK6NWPrNHcxWJq5nep,2026-08-08T04:10:50+00:00,P-CFO-4,4cc4c5550b47b72c,structured_v1_icaira,4365d334c6be76dd,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,14199,1961,1371,data/prestudy/raw/S_P-CFO-4_anthropic_01_schema_repair.json,success,repaired_valid,
S_P-CFO-4_moonshot_01,S_P-CFO-4_moonshot_01_initial,initial,1,22,decision,moonshot,openai_compatible,kimi-k3,,kimi-k3,chatcmpl-6a76ac4bbd4488072987ba98,2026-08-08T04:12:02+00:00,P-CFO-4,4cc4c5550b47b72c,structured_v1_icaira,4365d334c6be76dd,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,72350,1262,3316,data/prestudy/raw/S_P-CFO-4_moonshot_01_initial.json,success,valid,
