run_id,collection_round,execution_position,card_id,provider,api_model_id,repetition
S_P-COO-4_moonshot_01,1,1,P-COO-4,moonshot,kimi-k3,1
S_P-CFO-5_moonshot_01,1,2,P-CFO-5,moonshot,kimi-k3,1
S_P-CIO-4_anthropic_01,1,3,P-CIO-4,anthropic,claude-opus-5,1
S_P-COO-3_anthropic_01,1,4,P-COO-3,anthropic,claude-opus-5,1
S_P-CFO-3_anthropic_01,1,5,P-CFO-3,anthropic,claude-opus-5,1
S_P-COO-1_moonshot_01,1,6,P-COO-1,moonshot,kimi-k3,1
S_P-CFO-3_google_01,1,7,P-CFO-3,google,gemini-3.1-pro-preview,1
S_P-CFO-1_xai_01,1,8,P-CFO-1,xai,grok-4.5,1
S_P-CFO-1_moonshot_01,1,9,P-CFO-1,moonshot,kimi-k3,1
S_P-CIO-2_anthropic_01,1,10,P-CIO-2,anthropic,claude-opus-5,1
S_P-COO-2_anthropic_01,1,11,P-COO-2,anthropic,claude-opus-5,1
S_P-CIO-4_xai_01,1,12,P-CIO-4,xai,grok-4.5,1
S_P-CFO-3_xai_01,1,13,P-CFO-3,xai,grok-4.5,1
S_P-CIO-3_anthropic_01,1,14,P-CIO-3,anthropic,claude-opus-5,1
S_P-CFO-4_google_01,1,15,P-CFO-4,google,gemini-3.1-pro-preview,1
S_P-CIO-1_anthropic_01,1,16,P-CIO-1,anthropic,claude-opus-5,1
S_P-COO-1_xai_01,1,17,P-COO-1,xai,grok-4.5,1
S_P-CIO-4_openai_01,1,18,P-CIO-4,openai,gpt-5.6-sol,1
S_P-COO-5_xai_01,1,19,P-COO-5,xai,grok-4.5,1
S_P-COO-4_google_01,1,20,P-COO-4,google,gemini-3.1-pro-preview,1
S_P-CFO-4_anthropic_01,1,21,P-CFO-4,anthropic,claude-opus-5,1
S_P-CFO-4_moonshot_01,1,22,P-CFO-4,moonshot,kimi-k3,1
S_P-CIO-5_anthropic_01,1,23,P-CIO-5,anthropic,claude-opus-5,1
S_P-COO-3_xai_01,1,24,P-COO-3,xai,grok-4.5,1
S_P-CIO-3_moonshot_01,1,25,P-CIO-3,moonshot,kimi-k3,1
S_P-CFO-4_xai_01,1,26,P-CFO-4,xai,grok-4.5,1
S_P-CIO-5_xai_01,1,27,P-CIO-5,xai,grok-4.5,1
S_P-CIO-2_moonshot_01,1,28,P-CIO-2,moonshot,kimi-k3,1
S_P-CIO-1_google_01,1,29,P-CIO-1,google,gemini-3.1-pro-preview,1
S_P-CFO-2_google_01,1,30,P-CFO-2,google,gemini-3.1-pro-preview,1
S_P-COO-2_moonshot_01,1,31,P-COO-2,moonshot,kimi-k3,1
S_P-CIO-1_openai_01,1,32,P-CIO-1,openai,gpt-5.6-sol,1
S_P-COO-1_anthropic_01,1,33,P-COO-1,anthropic,claude-opus-5,1
S_P-COO-3_moonshot_01,1,34,P-COO-3,moonshot,kimi-k3,1
S_P-CFO-3_moonshot_01,1,35,P-CFO-3,moonshot,kimi-k3,1
S_P-CFO-3_openai_01,1,36,P-CFO-3,openai,gpt-5.6-sol,1
S_P-COO-1_google_01,1,37,P-COO-1,google,gemini-3.1-pro-preview,1
S_P-CIO-5_openai_01,1,38,P-CIO-5,openai,gpt-5.6-sol,1
S_P-CIO-5_moonshot_01,1,39,P-CIO-5,moonshot,kimi-k3,1
